Error;Probability of error;Minimum;Average;Maximum
Wrong hardware;1.00%;2;2.5;10
Surface finishing defects or dents on aluminium profiles;2.00%;1;2;20
Machine Failure;1.00%;1;1.3;2
Workers Error (input of dimensions);1.00%;1;3;20
Machine Failure;1.00%;1;2;10
Workers Error in the Assembly phase;1.00%;1;3;20
Dimensional non-conformity of glazing;2.00%;2;3.5;20
Aestethic non-conformity of glazing;1.00%;0;1.5;20
Glass breakage or scratches during assembly;0.50%;7;10;20
Machine Failure;1.00%;0;0.8;5
Damage during handling;0.75%;5;8;25
