Error;Probability of error;Minimum;Average;Maximum
Compound contamination;1.20%;2;4;7
Additive dosage error;0.80%;2;3;5
Dimensional out-of-tolerance ;3.50%;1;3;6
Line speed instability;2.00%;0.5;1;2
Die wear or damage;0.50%;3;6;10
Insufficient cross-linking;1.50%;2;3;5
Thermal shock;1.00%;1;2;4
Cut-to-length error;2.50%;0.5;1;2
Punching error for drainage/ventilation;1.20%;1;2;3
Vulcanized joint failure;3.00%;1;2;4
Profile misalignment during welding;1.80%;0.5;1.5;3
Permanent deformation due to improper storage;0.70%;4;5;10
Logistical delay;2.00%;3;6;14
